N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud,Nivel,id
59,AYACUCHO,SUCRE,50906,MORCOLLA,509050015,509050015,50905,HUACAÑA,ALUZPAMPA,TAMBO SANTA ALUZPAMPA,-14 a -11,5 a 10 dias,1050,113,150,ALTO,460,494,0,ALTO,12,34,7,ALTO,-14.110262200000001,-73.87204489999998,3,30
64,CUSCO,CANAS,80505,LAYO,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,-20 a -14,20 a 31 dias,6373,700,752,MUY ALTO,1740,1740,0,MUY ALTO,24,289,17,ALTO,-14.50557,-71.15529599999998,3,31
65,CUSCO,CANAS,80506,PAMPAMARCA,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,-11 a -5,20 a 31 dias,2034,201,277,MUY ALTO,485,486,0,ALTO,8,46,3,MUY ALTO,-14.146286499999999,-71.4603621,3,32
68,CUSCO,CANAS,80501,YANAOCA,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU,-14 a -11,20 a 31 dias,10049,1084,1288,ALTO,2522,2527,0,ALTO,59,368,20,MUY ALTO,-14.2171388,-71.4314206,3,33
70,CUSCO,CANCHIS,80604,MARANGANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-20 a -14,20 a 31 dias,11195,1016,1506,ALTO,2730,2740,0,MUY ALTO,35,371,18,MUY ALTO,-14.3568964,-71.16935939999998,3,34
71,CUSCO,CANCHIS,80605,PITUMARCA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-20 a -14,10 a 20 dias,7541,841,893,ALTO,2243,2243,0,ALTO,17,191,13,MEDIO,-13.979235800000001,-71.41657790000001,3,35
72,CUSCO,CANCHIS,80601,SICUANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-20 a -14,20 a 31 dias,60363,5452,5969,MUY ALTO,13160,13170,0,MEDIO,46,476,33,ALTO,-14.2713299,-71.2220832,3,36
73,CUSCO,CHUMBIVILCAS,80702,CAPACMARCA,807030015,807030015,80703,CHAMACA,CONCHACCOLLO CENTRO,TAMBO CCONCHA CCOLLO,-11 a -5,10 a 20 dias,4596,448,589,ALTO,1229,1229,0,MUY ALTO,19,259,11,ALTO,-14.007777777777774,-72.00166666666667,3,37
77,CUSCO,CHUMBIVILCAS,80706,LLUSCO,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,-14 a -11,20 a 31 dias,7100,833,861,ALTO,1560,1560,0,MUY ALTO,18,244,14,ALTO,-14.34823,-72.12155899999998,3,38
78,CUSCO,CHUMBIVILCAS,80707,QUIÑOTA,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,-14 a -11,20 a 31 dias,4930,649,460,ALTO,1067,1067,0,MUY ALTO,16,271,12,ALTO,-14.317789999999999,-72.14971899999998,3,39
