Solution,Source,Destination,Item 1,Item 2,Item 3
11,C2,D2,4.0,13.0,3.0
11,C2,D3,60.0,50.0,88.0
11,C2,D4,9.0,22.0,7.0
11,C2,D5,8.0,2.0,52.0
11,C2,D6,42.0,2.0,36.0
11,C2,D7,2.0,10.0,4.0
11,C2,D8,133.0,118.0,110.0
12,A1,B3,230.0,210.0,150.0
12,A2,B1,118.0,169.0,96.0
12,A2,B3,52.0,21.0,154.0
12,B1,C1,118.0,169.0,96.0
12,B3,C2,282.0,231.0,304.0
12,C1,D1,26.0,20.0,11.0
12,C1,D2,10.0,41.0,17.0
12,C1,D3,0.0,0.0,5.0
12,C1,D4,17.0,76.0,9.0
12,C1,D5,3.0,2.0,8.0
12,C1,D6,48.0,7.0,40.0
12,C1,D7,7.0,12.0,6.0
12,C1,D8,7.0,11.0,0.0
12,C2,D1,24.0,15.0,7.0
12,C2,D2,4.0,10.0,3.0
12,C2,D3,60.0,50.0,85.0
12,C2,D4,9.0,22.0,7.0
12,C2,D5,8.0,4.0,52.0
12,C2,D6,42.0,2.0,36.0
12,C2,D7,2.0,10.0,4.0
12,C2,D8,133.0,118.0,110.0
13,A1,B3,230.0,210.0,150.0
13,A2,B1,118.0,167.0,96.0
13,A2,B3,52.0,23.0,154.0
13,B1,C1,118.0,167.0,96.0
13,B3,C2,282.0,233.0,304.0
13,C1,D1,26.0,20.0,11.0
13,C1,D2,10.0,38.0,17.0
13,C1,D3,0.0,0.0,5.0
13,C1,D4,16.0,76.0,9.0
13,C1,D5,3.0,3.0,8.0
13,C1,D6,48.0,7.0,40.0
13,C1,D7,8.0,12.0,6.0
13,C1,D8,7.0,11.0,0.0
13,C2,D1,24.0,15.0,7.0
13,C2,D2,4.0,12.0,3.0
13,C2,D3,60.0,50.0,85.0
13,C2,D4,9.0,22.0,7.0
13,C2,D5,8.0,4.0,52.0
13,C2,D6,42.0,2.0,36.0
13,C2,D7,2.0,10.0,4.0
13,C2,D8,133.0,118.0,110.0
14,A1,B3,230.0,210.0,150.0
14,A2,B1,131.0,150.0,102.0
14,A2,B3,39.0,40.0,148.0
14,B1,C1,131.0,150.0,102.0
14,B3,C2,269.0,250.0,298.0
14,C1,D1,20.0,16.0,11.0
14,C1,D2,28.0,26.0,10.0
14,C1,D3,4.0,0.0,5.0
14,C1,D4,16.0,76.0,9.0
14,C1,D5,8.0,1.0,8.0
14,C1,D6,48.0,24.0,51.0
14,C1,D7,2.0,7.0,8.0
14,C1,D8,5.0,0.0,0.0
14,C2,D1,18.0,9.0,6.0
14,C2,D2,22.0,14.0,2.0
14,C2,D3,32.0,50.0,85.0
14,C2,D4,9.0,22.0,7.0
14,C2,D5,10.0,1.0,52.0
14,C2,D6,42.0,19.0,29.0
14,C2,D7,1.0,5.0,7.0
14,C2,D8,135.0,130.0,110.0
15,A1,B3,230.0,210.0,150.0
15,A2,B1,127.0,182.0,92.0
15,A2,B3,43.0,8.0,158.0
15,B1,C1,127.0,182.0,92.0
15,B3,C2,273.0,218.0,308.0
15,C1,D1,20.0,20.0,20.0
15,C1,D2,38.0,26.0,5.0
15,C1,D3,0.0,11.0,5.0
15,C1,D4,17.0,76.0,9.0
15,C1,D5,3.0,3.0,7.0
15,C1,D6,39.0,24.0,40.0
15,C1,D7,3.0,11.0,6.0
15,C1,D8,7.0,11.0,0.0
15,C2,D1,18.0,14.0,16.0
15,C2,D2,12.0,14.0,1.0
15,C2,D3,60.0,14.0,85.0
15,C2,D4,9.0,22.0,7.0
15,C2,D5,7.0,4.0,45.0
15,C2,D6,36.0,22.0,40.0
15,C2,D7,1.0,10.0,4.0
15,C2,D8,130.0,118.0,110.0
16,A1,B1,0.0,17.0,0.0
16,A1,B3,230.0,193.0,150.0
16,A2,B1,128.0,190.0,103.0
16,A2,B3,42.0,0.0,147.0
16,B1,C1,128.0,207.0,103.0
16,B3,C2,272.0,193.0,297.0
16,C1,D1,3.0,20.0,16.0
16,C1,D2,28.0,28.0,10.0
16,C1,D3,7.0,12.0,5.0
16,C1,D4,18.0,100.0,9.0
16,C1,D5,8.0,1.0,6.0
16,C1,D6,50.0,24.0,50.0
16,C1,D7,9.0,11.0,7.0
16,C1,D8,5.0,11.0,0.0
16,C2,D1,1.0,15.0,12.0
16,C2,D2,22.0,16.0,10.0
16,C2,D3,53.0,16.0,85.0
16,C2,D4,9.0,0.0,6.0
16,C2,D5,10.0,2.0,37.0
16,C2,D6,40.0,16.0,30.0
16,C2,D7,2.0,10.0,7.0
16,C2,D8,135.0,118.0,110.0
17,A1,B3,230.0,210.0,150.0
17,A2,B1,123.0,186.0,95.0
17,A2,B3,47.0,4.0,155.0
17,B1,C1,123.0,186.0,95.0
17,B3,C2,277.0,214.0,305.0
17,C1,D1,20.0,20.0,16.0
17,C1,D2,24.0,29.0,5.0
17,C1,D3,7.0,12.0,2.0
17,C1,D4,17.0,76.0,9.0
17,C1,D5,3.0,3.0,8.0
17,C1,D6,44.0,24.0,47.0
17,C1,D7,3.0,11.0,8.0
17,C1,D8,5.0,11.0,0.0
17,C2,D1,18.0,15.0,12.0
17,C2,D2,20.0,15.0,2.0
17,C2,D3,53.0,14.0,88.0
17,C2,D4,9.0,22.0,7.0
17,C2,D5,7.0,4.0,52.0
17,C2,D6,34.0,16.0,27.0
17,C2,D7,1.0,10.0,7.0
17,C2,D8,135.0,118.0,110.0
18,A1,B3,230.0,210.0,150.0
18,A2,B1,130.0,187.0,102.0
18,A2,B3,40.0,3.0,148.0
18,B1,C1,130.0,187.0,102.0
18,B3,C2,270.0,213.0,298.0
18,C1,D1,20.0,19.0,16.0
18,C1,D2,28.0,26.0,5.0
18,C1,D3,5.0,17.0,6.0
18,C1,D4,17.0,76.0,9.0
18,C1,D5,8.0,3.0,7.0
18,C1,D6,44.0,24.0,51.0
18,C1,D7,3.0,11.0,8.0
18,C1,D8,5.0,11.0,0.0
18,C2,D1,18.0,12.0,12.0
18,C2,D2,22.0,13.0,2.0
18,C2,D3,41.0,18.0,84.0
18,C2,D4,9.0,22.0,7.0
18,C2,D5,10.0,4.0,47.0
18,C2,D6,34.0,16.0,29.0
18,C2,D7,1.0,10.0,7.0
18,C2,D8,135.0,118.0,110.0
19,A1,B3,230.0,210.0,150.0
19,A2,B1,133.0,187.0,102.0
19,A2,B3,37.0,3.0,148.0
19,B1,C1,133.0,187.0,102.0
19,B3,C2,267.0,213.0,298.0
19,C1,D1,20.0,20.0,16.0
